Car_Name,Year,Selling_Price,Dist_Driven,Fuel_Type,Transmission,Owner
Renault KWID RXT,2017,1.2,11000,Petrol,Automatic,Second
Mahindra Xylo E4 BS III,2016,1.2,6000,Petrol,Manual,Second
Maruti SX4 ZXI MT BSIV,2016,1.15,8700,Petrol,Manual,First
Renault KWID RXT,2014,1.15,7000,Petrol,Manual,Third
Hyundai Creta 1.4 CRDi S,2016,1.15,35000,Petrol,Automatic,Second
Maruti Swift Dzire VDI,2015,1.15,17000,Petrol,Automatic,Second
Hyundai Verna 1.6 VTVT AT S Option,2015,1.11,17500,Petrol,Manual,First
Mahindra Scorpio LX BSIV,2013,1.1,33000,Petrol,Manual,Second
Maruti SX4 Vxi BSIII,2015,1.1,14000,Petrol,Manual,First
Maruti Ertiga VDI,2015,1.1,26000,Diesel,Manual,First
Chevrolet Beat Diesel,2013,1.05,5400,Petrol,Automatic,First
Maruti Zen LX,2016,1.05,5700,Petrol,Manual,Second
Maruti Baleno Delta 1.2,2011,1.05,6900,Petrol,Manual,First
Tata Nano Lx BSIV,2016,1.05,6000,Petrol,Automatic,First
Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,12.56,46500,CNG,Manual,First
Maruti Ertiga SHVS VDI,2012,0.95,11500,Petrol,Automatic,Second
Hyundai Creta 1.6 CRDi SX,2009,0.9,40000,Petrol,Manual,First
Honda Amaze S i-Vtech,2017,0.9,1300,Petrol,Manual,Third
Tata Indica Vista Aqua 1.4 TDI,2016,0.75,7000,Petrol,Manual,First
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2017,0.8,3000,CNG,Automatic,First
Chevrolet Cruze LTZ,2017,0.78,5000,Petrol,Manual,First
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2017,0.75,11000,Petrol,Automatic,Third
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2015,0.75,18000,CNG,Manual,Second
Hyundai i10 Sportz 1.1L,2017,0.75,3500,Petrol,Manual,First
Chevrolet Spark 1.0 LS,2016,0.72,500,Petrol,Automatic,First
Hyundai EON Era Plus,2017,0.65,11800,CNG,Manual,Third
Tata Indica Vista Aqua TDI BSIII,2015,0.65,5000,Petrol,Manual,First
Hyundai Santro LP zipPlus,2014,0.65,23500,Petrol,Manual,First
Tata Bolt Quadrajet XE,2013,0.65,16000,Petrol,Manual,First
Maruti 800 AC BSIII,2016,0.6,15000,Petrol,Manual,Third
Hyundai EON Era Plus,2015,0.6,16600,CNG,Manual,First
Hyundai i20 Magna 1.2,2013,0.6,32000,Petrol,Manual,First
Hyundai i20 1.2 Asta,2016,0.6,20000,Petrol,Manual,Second
Maruti Ciaz VDi Plus,2015,0.6,29000,Petrol,Manual,First
Hyundai i20 Asta 1.4 CRDi,2016,0.6,25000,Petrol,Manual,First
Hyundai Santro LE,2014,0.6,25000,Petrol,Manual,Third
Maruti Vitara Brezza VDi,2012,0.6,19000,Petrol,Manual,First
Hyundai Santro Xing XL eRLX Euro III,2014,0.55,15000,Petrol,Manual,Second
Hyundai Getz 1.3 GLS,2015,0.55,58000,Petrol,Manual,First
Mahindra Quanto C8,2010,0.52,45000,Petrol,Manual,First
Chevrolet Tavera Neo 3 LS 7 C BSIII,2016,0.51,24000,Petrol,Manual,First
Hyundai EON Magna Plus,2011,0.5,6000,Petrol,Manual,First
Renault KWID RXT,2016,0.5,31000,Petrol,Manual,First
Maruti Wagon R DUO LPG,2012,0.5,13000,Petrol,Manual,Third
Maruti Wagon R LXI,2013,0.5,45000,Petrol,Manual,First
Chevrolet Enjoy 1.3 TCDi LS 8,2014,0.5,8000,Petrol,Manual,First
Chevrolet Spark 1.0 LS,2017,0.48,4300,Petrol,Automatic,Second
Honda City i VTEC SV,2017,0.48,15000,Petrol,Manual,First
Honda Amaze VX i-DTEC,2015,0.48,23000,Petrol,Manual,Second
Jaguar XJ 5.0 L V8 Supercharged,2017,0.48,8600,Petrol,Manual,First
Honda Brio E MT,2017,0.45,4000,Petrol,Automatic,Second
Maruti Swift VVT ZXI,2011,0.45,24000,Petrol,Manual,Second
Tata Indigo CR4,2014,0.45,23000,Petrol,Automatic,First
Hyundai i10 Asta AT,2012,0.45,14500,Petrol,Manual,First
Chevrolet Beat LT,2010,0.45,27000,CNG,Manual,First
Maruti Swift VDI BSIV,2016,0.45,14000,Petrol,Manual,Third
Maruti Alto LXi,2016,0.45,500,Petrol,Automatic,First
Chevrolet Beat LT,2016,0.45,1000,Petrol,Manual,First
Renault Duster 110PS Diesel RxZ,2014,0.42,42000,CNG,Manual,Second
Hyundai Santro Xing XG,2013,0.42,12000,Petrol,Automatic,First
Maruti Swift Dzire ZXI Plus,2015,0.4,14000,Petrol,Manual,First
Maruti 800 AC,2012,0.4,5500,Petrol,Manual,Third
Maruti Alto K10 LXI CNG,2015,0.4,6700,Petrol,Manual,First
Maruti 800 Std BSII,2014,0.4,13700,CNG,Manual,First
Tata Nano LX SE,2017,0.4,1300,Petrol,Automatic,First
Hyundai i20 Magna 1.2,2015,0.38,38600,Petrol,Manual,Second
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2011,0.38,75000,Petrol,Manual,First
Maruti Alto K10 VXI,2011,0.35,30000,Petrol,Manual,Third
Maruti Ciaz 1.4 Delta,2016,0.35,24000,Petrol,Automatic,First
Maruti Alto LX,2014,0.35,19000,Petrol,Automatic,First
Hyundai i20 Asta,2010,0.31,213000,Petrol,Manual,Second
Tata Nexon 1.2 Revotron XM,2012,0.3,60000,Petrol,Manual,First
Mahindra Bolero Power Plus SLX,2016,0.3,50000,Petrol,Manual,First
Maruti Zen D,2013,0.3,30000,Petrol,Manual,First
Volkswagen Vento Celeste 1.5 TDI Highline AT,2013,0.27,21000,Petrol,Manual,First
Maruti Eeco 7 Seater Standard BSIV,2008,0.25,26000,Petrol,Manual,Second
Honda City 1.5 EXI,2008,0.25,1900,Petrol,Automatic,First
Mercedes-Benz New C-Class 220 CDI AT,2010,8.45,22000,Petrol,Automatic,Second
Maruti SX4 Zxi with Leather BSIII,2013,0.25,32000,Petrol,Manual,First
Renault Duster 110PS Diesel RxZ,2013,0.25,18000,Petrol,Manual,Third
Ford Figo Diesel Titanium,2005,0.2,55000,Petrol,Manual,Second
Ford Figo Diesel Titanium,2008,0.2,60000,Petrol,Manual,Third
Maruti Swift Dzire VDi,2012,0.2,25000,Petrol,Manual,Second
Mahindra Xylo E4,2007,0.2,49000,Petrol,Manual,Second
Maruti Esteem Vxi - BSIII,2013,0.2,24000,Petrol,Manual,Second
Maruti Swift VDI BSIV,2008,0.2,50000,Petrol,Manual,First
Hyundai i20 1.2 Sportz,2015,0.18,35000,Petrol,Manual,Second
Chevrolet Beat Diesel LT,2008,0.17,500000,Petrol,Automatic,Second
Chevrolet Cruze LTZ AT,2010,0.16,33000,Petrol,Manual,Third
Nissan Micra XL,2011,0.15,35000,Petrol,Manual,Second
BMW 5 Series 520d Luxury Line,2007,0.12,53000,Petrol,Manual,Third
Chevrolet Enjoy 1.3 TCDi LS 8,2006,0.1,92233,Petrol,Manual,Second
Hyundai EON Era Plus Option,2010,3.25,58000,Diesel,Manual,Second
Fiat Linea T Jet Emotion,2015,4.4,28200,Petrol,Manual,First
Renault Scala RxL,2011,2.95,53460,CNG,Manual,Third
Ford Figo Petrol Titanium,2015,2.75,28282,Petrol,Manual,First
Maruti Ciaz ZDi SHVS,2016,5.25,3493,Petrol,Manual,Second
Skoda Rapid 1.5 TDI Ambition BSIV,2017,5.75,12479,Petrol,Manual,Third
Mahindra XUV500 W6 2WD,2015,5.15,34797,Petrol,Automatic,Second
Mahindra XUV300 W8 Option,2017,7.9,3435,Petrol,Manual,First
Maruti Ertiga SHVS ZDI,2015,4.85,21125,CNG,Manual,First
Nissan Terrano XE D,2012,3.1,35775,Petrol,Manual,Second
Maruti S-Cross Facelift,2015,11.75,43535,Diesel,Manual,First
Hyundai i20 Magna 1.4 CRDi (Diesel),2016,11.25,22671,Petrol,Manual,First
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2011,2.9,31604,Petrol,Manual,First
Hyundai EON Era Plus,2017,5.25,20114,Petrol,Manual,First
Volkswagen Ameo 1.5 TDI Highline,2012,4.5,36100,Petrol,Manual,First
Maruti Alto LX,2016,2.9,12500,CNG,Manual,Third
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2016,3.15,15000,Petrol,Manual,Second
Maruti Alto LX,2014,6.45,45078,Petrol,Manual,First
Hyundai Verna i (Petrol),2012,4.5,36000,Petrol,Manual,First
Mahindra Renault Logan 1.5 DLS,2017,3.5,38488,Petrol,Manual,First
Chevrolet Optra Magnum 2.0 LS BSIII,2013,4.5,32000,Petrol,Automatic,First
Mahindra Scorpio S11 BSIV,2014,6,77632,Diesel,Manual,First
Hyundai i20 Active 1.2 SX,2015,8.25,61381,Diesel,Manual,First
Maruti SX4 Celebration Diesel,2013,5.11,36198,Petrol,Automatic,First
Hyundai Grand i10 Magna,2011,2.7,22517,Petrol,Manual,First
Maruti Alto LXi BSIII,2015,5.25,24678,Petrol,Manual,First
Maruti SX4 Zxi with Leather BSIII,2011,2.55,57000,Petrol,Manual,First
Hyundai i10 Era,2012,4.95,60000,Diesel,Manual,First
Toyota Innova 2.5 V Diesel 7-seater,2012,3.1,52132,Diesel,Manual,First
Honda Mobilio V i DTEC,2013,6.15,45000,Diesel,Manual,First
Tata Indica V2 2001-2011 DLS BSIII,2017,9.25,15001,Petrol,Manual,First
Tata Indica Vista TDI LS,2015,11.45,12900,Petrol,Automatic,First
Chevrolet Beat Diesel LS,2013,4,53000,Diesel,Manual,Second
Tata Zest Quadrajet 1.3 75PS XE,2015,5.5,4492,Petrol,Manual,First
Skoda Fabia 1.2L Diesel Ambiente,2017,9.1,15141,Diesel,Manual,First
Maruti 800 Std,2016,3.1,11849,Petrol,Manual,First
Ford Figo Petrol Titanium,2015,11.25,68000,Diesel,Manual,First
Toyota Innova 2.5 VX (Diesel) 8 Seater,2013,4.8,60241,Petrol,Manual,First
Honda Mobilio V i DTEC,2012,6.5,23709,Petrol,Manual,First
Hyundai Grand i10 1.2 CRDi Asta,2012,5.35,32322,Diesel,Manual,First
Chevrolet Beat Diesel LT,2015,4.75,35866,Petrol,Manual,Second
Datsun GO Plus T Option Petrol,2014,4.4,34000,Petrol,Manual,Second
Hyundai Grand i10 1.2 Kappa Asta,2016,6.25,7000,CNG,Manual,First
Maruti Omni MPI STD BSIV,2013,5.95,49000,Diesel,Manual,First
Maruti Baleno Alpha 1.2,2012,5.2,71000,Diesel,Manual,First
Ford Fiesta Classic 1.4 SXI Duratorq,2012,3.75,35000,Diesel,Manual,Second
Hyundai Elite i20 Asta Option BSIV,2015,5.95,36000,Petrol,Manual,First
Hyundai Grand i10 CRDi Magna,2013,4,30000,Petrol,Manual,Second
Maruti Ertiga SHVS ZDI,2016,5.25,17000,Petrol,Manual,First
Hyundai Santro Xing GL Plus,2016,12.9,35934,CNG,Manual,First
Tata Sumo GX TC 7 Str BSIII,2013,5,56701,Petrol,Manual,First
Renault KWID RXT,2015,5.4,31427,Petrol,Automatic,Second
Maruti 800 AC,2014,7.2,48000,Diesel,Manual,First
Maruti Vitara Brezza LDi Option,2013,5.25,54242,Petrol,Manual,First
Honda Jazz S,2012,3,53675,Petrol,Manual,Third
Hyundai i20 1.4 Sportz,2016,10.25,49562,Petrol,Manual,First
Maruti Ertiga SHVS ZDI Plus,2015,8.5,40324,Petrol,Manual,First
Tata Sumo SE Plus BSIII,2015,8.4,25000,Petrol,Manual,First
Mahindra Xylo E4,2014,3.9,36054,Petrol,Manual,First
Maruti Swift ZDi BSIV,2016,9.15,29223,Petrol,Manual,First
Maruti Ertiga VXI,2016,5.5,5600,Petrol,Manual,First
Hyundai i20 1.4 Magna ABS,2015,4,40023,Petrol,Manual,First
Maruti Alto LXi,2016,6.6,16002,Petrol,Manual,First
Maruti Alto LXi,2015,4,40026,Petrol,Automatic,First
Hyundai Getz GL,2017,6.5,21200,Petrol,Manual,First
Maruti Wagon R LX BS IV,2014,3.65,35000,Petrol,Manual,First
Mahindra Bolero Power Plus SLX,2016,8.35,19434,Diesel,Manual,First
Hyundai i20 1.2 Spotz,2017,4.8,19000,Petrol,Automatic,First
Maruti Wagon R LXI Minor,2015,6.7,18828,Petrol,Manual,First
Maruti Alto 800 VXI,2011,4.1,69341,Petrol,Automatic,First
Hyundai i20 Asta (o),2009,3,69562,Petrol,Manual,Third
Hyundai i20 Asta,2015,7.5,27600,Petrol,Manual,First
Hyundai Verna 1.6 SX CRDi (O),2010,2.25,61203,Petrol,Manual,Third
Mahindra Xylo D2 BSIV,2014,5.3,16500,Petrol,Manual,First
Mahindra Bolero SLX 2WD BSIII,2016,10.9,30753,Petrol,Automatic,First
Maruti Ertiga VXI ABS,2015,8.65,24800,Petrol,Manual,First
Honda Brio 1.2 E MT,2015,9.7,21780,CNG,Manual,First
Toyota Etios Liva G,2016,6,4000,Petrol,Manual,Second
Maruti Alto 800 LXI,2014,6.25,40126,Petrol,Manual,First
Maruti Swift Dzire 1.2 Vxi BSIV,2015,5.25,14465,Petrol,Automatic,First
Mahindra Scorpio VLS AT 2.2 mHAWK,2006,2.1,50456,CNG,Manual,Third
Mahindra Bolero SLX,2014,8.25,63000,Diesel,Manual,First
Mahindra XUV500 W11 Option AWD,2016,8.84,9010,Petrol,Manual,First
Tata Tiago 1.2 Revotron XZ,2013,3.5,9800,Petrol,Manual,Third
Mahindra Marazzo M8 8Str,2016,7.4,15059,Petrol,Automatic,First
Renault Duster 110PS Diesel RxL,2016,5.65,28569,Petrol,Manual,First
Hyundai EON Magna Plus,2015,5.75,44000,Petrol,Automatic,First
Maruti Wagon R VXI,2015,8.4,34000,CNG,Manual,First
Chevrolet Spark 1.0 LT,2016,10.12,10980,Petrol,Manual,First
Maruti Baleno Alpha,2014,4.5,19000,Petrol,Manual,First
Hyundai EON 1.0 Kappa Magna Plus,2015,5.4,31427,Petrol,Manual,First
Ford Figo Aspire 1.2 Ti-VCT Trend,2016,6.4,12000,Petrol,Automatic,First
Ford Figo Aspire Facelift,2010,3.25,38000,Petrol,Manual,First
Hyundai i10 Era,2014,3.75,33019,CNG,Manual,Second
Mahindra Bolero SLX,2015,8.55,60076,Diesel,Automatic,First
Hyundai Verna 1.4 VTVT,2016,9.5,33988,Diesel,Manual,First
Chevrolet Sail 1.2 LT ABS,2015,4,60000,Petrol,Manual,Second
Honda City i-DTEC SV,2009,3.35,87934,CNG,Manual,Second
Hyundai Grand i10 1.2 Kappa Asta,2017,11.5,9000,Diesel,Manual,First
Mahindra Bolero Power Plus Plus AC BSIV PS,2016,5.3,5464,Petrol,Manual,Second
